Title,buy_box_availability,rating_numeric,review_count,monthly_demand,current_price,listed_price_clean,is_sponsored_clean,has_coupon,has_bestseller_badge
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",Add to cart,4.8,16952.0,50000.0,25.66,,Organic,0,0
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",Add to cart,4.8,2377.0,10000.0,476.5,,Organic,0,1
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",Add to cart,4.6,262557.0,10000.0,79.99,,Organic,0,1
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",Add to cart,3.9,6335.0,500.0,29.99,32.72,Sponsored,1,0
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",Add to cart,4.6,24117.0,20000.0,52.89,71.87,Organic,0,0
"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",Add to cart,4.7,231583.0,60000.0,12.69,,Organic,0,1
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",Add to cart,4.1,4856.0,10000.0,138.0,169.99,Organic,0,1
"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",Add to cart,4.6,6931.0,20000.0,106.89,,Organic,0,0
"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",Add to cart,4.4,24693.0,10000.0,39.59,,Organic,0,1
"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",Add to cart,4.6,6350.0,10000.0,154.89,,Organic,0,0
